x1,x2,cluster
0.91029,0.016192,2
-2.531,6.6981,3
4.3602,8.3541,4
-0.70489,-0.51343,5
-5.7383,-6.2088,6
-4.4819,-4.7127,7
0.90842,0.38202,8
4.4273,5.8406,9
-5.5724,3.9576,10
4.256,-0.71465,11
-1.8763,4.3208,12
3.9002,4.9458,13
-1.6512,3.1684,14
3.4097,-2.8458,15
2.7509,-3.7186,16
4.0017,-5.6322,17
-1.3762,2.2893,18
3.1672,-2.0876,19
2.5706,7.835,20
4.1783,0.46918,21
-1.4094,1.6812,22
3.3032,-0.23407,23
-0.6899,5.6732,24
4.4551,0.91978,25
0.43072,6.1793,26
4.2493,7.8125,27
-2.2102,5.1359,28
4.5083,6.8181,29
-1.5381,4.4656,30
3.8053,-0.85611,31
-3.6955,7.4957,32
4.0747,7.0743,33
-3.3814,7.9278,34
4.3867,7.1527,35
-3.2273,3.9263,36
3.5652,3.3784,37
0.98228,0.93136,38
4.3048,8.7488,39
-5.6913,5.3119,40
4.3524,6.9648,41
-3.3028,6.3978,42
4.2079,3.0702,43
-2.8765,0.017646,44
4.4197,-3.0666,45
-4.3528,4.4058,46
3.7617,0.18421,47
-2.0124,4.599,48
3.7219,5.1292,49
-4.1637,3.7268,50
3.7035,1.1783,51
-1.5331,3.3482,52
4.4484,1.5236,53
-2.8353,3.4889,54
4.0611,4.3352,55
-2.0325,5.4061,56
3.4695,3.0708,57
-0.75983,5.7546,58
3.8583,7.415,59
3.4517,4.4644,60
-0.41852,4.9517,61
3.7967,-0.57926,62
-1.4054,6.8287,63
4.723,7.072,64
-0.60948,4.9422,65
4.6102,-2.7291,66
-2.4528,-0.15047,67
4.1376,2.5525,68
-1.4837,5.8328,69
3.9858,4.1307,70
0.29761,5.2212,71
5.0873,8.1535,72
-3.3855,3.6542,73
3.8461,7.0261,74
-0.19813,5.7081,75
3.8222,5.8412,76
1.4774,4.7857,77
3.7977,2.6556,78
-1.8651,1.8011,79
4.2754,7.2554,80
-0.45499,3.3474,81
4.4675,8.8786,82
-2.916,3.5733,83
4.6984,8.0832,84
0.16431,5.1043,85
-2.2341,-3.1081,86
1.046,0.33435,87
-1.9258,-2.9864,88
-4.1876,-5.1139,89
-2.4265,-3.0797,90
2.089,0.96775,91
-1.6956,-2.7913,92
-4.9665,-5.2581,93
-7.6645,-7.6233,94
-2.4237,-2.5616,95
4.5974,3.6822,96
0.41252,0.50543,97
-5.5943,-6.0237,98
-1.921,-2.7006,99
-2.3281,-2.8576,100
4.1444,3.1904,101
-1.7756,1.634,102
3.725,6.6395,103
-2.543,6.7817,104
4.2798,-0.095909,105
-2.105,5.3809,106
3.7389,1.6539,107
-2.1966,4.015,108
4.1613,7.9393,109
0.49415,3.5734,110
4.145,4.6411,111
-3.4003,2.5675,112
3.562,1.6797,113
-3.1733,1.6388,114
4.2408,8.3093,115
-4.5667,0.88759,116
3.4199,-0.95568,117
3.8368,-5.6588,118
2.2181,-3.9016,119
3.2454,-2.2196,120
3.3015,-4.2302,121
3.3484,-5.1862,122
3.6584,-4.4192,123
4.0736,-5.0064,124
5.5095,-2.1708,125
4.0373,-5.3738,126
3.673,-5.6325,127
2.6925,-5.2053,128
3.5127,-5.2376,129
4.1824,-4.0586,130
3.9281,-6.0642,131
2.1866,-2.3432,132
4.5942,-3.6297,133
5.1001,-4.2502,134
1.6937,-4.654,135
3.9808,-2.4098,136
3.3,-2.0224,137
3.3678,-2.7108,138
5.6717,-3.2,139
4.8229,-5.2447,140
1.9228,3.0054,141
4.0438,0.92554,142
-4.3256,4.0745,143
4.5552,1.2246,144
-2.3859,3.3089,145
3.784,4.7908,146
-0.63884,4.5646,147
0.19277,4.2912,148
3.81,0.047721,149
-1.959,3.8352,150
4.1755,1.9932,151
-1.1374,4.0567,152
3.494,9.8087,153
2.023,5.4951,154
4.7368,-4.0026,155
3.6569,-4.8153,156
3.3891,-4.0607,157
1.1641,-4.998,158
3.6771,-5.1889,159
2.0863,-5.1453,160
-5.6459,-5.6502,161
3.7341,5.3454,162
-0.80097,3.7714,163
4.0098,5.4786,164
-0.15353,3.1355,165
4.0991,-2.9498,166
3.4908,3.1043,167
-1.2162,1.9602,168
4.7011,-1.0551,169
-1.6408,3.8685,170
4.1221,10.164,171
-4.2697,3.4162,172
2.6435,-0.7217,173
-0.33739,4.2341,174
4.5352,8.0422,175
-4.6471,4.3396,176
3.2218,-1.8457,177
-3.5667,0.93383,178
3.6457,1.9876,179
-3.1236,6.1601,180
3.4015,0.21089,181
-2.2361,1.9304,182
3.5774,6.2096,183
-2.8059,4.1664,184
4.6763,-5.15,185
2.8623,-2.2553,186
2.4022,-5.2005,187
4.0854,-4.5995,188
2.2737,-5.2392,189
4.2111,7.2209,190
-4.8184,2.4227,191
4.211,4.1663,192
-0.61964,3.7291,193
4.541,1.8553,194
-4.9658,3.022,195
3.6774,-0.70668,196
-0.93472,2.2394,197
4.0845,-0.19958,198
-3.1372,3.9202,199
3.4721,-1.4832,200
-2.9124,4.4458,201
4.274,6.3068,202
0.097471,2.6435,203
3.6908,6.4725,204
-2.9873,4.4484,205
4.0399,10.112,206
-2.8669,2.2215,207
4.1302,4.8489,208
-1.6036,6.1247,209
3.5711,-4.7218,210
4.4288,-2.0444,211
5.3364,-6.0244,212
4.8365,-1.8032,213
2.913,-3.7642,214
-2.9483,-2.7685,215
-4.8586,-6.0257,216
-4.4156,-4.6441,217
0.65682,1.2905,218
-6.0976,-6.7753,219
-4.0427,-4.5746,220
-2.0815,-2.0486,221
-3.8932,-4.446,222
3.352,2.8239,223
-4.2808,4.2867,224
4.1862,0.79414,225
1.2056,2.7963,226
-1.2377,4.1467,227
3.2969,5.8003,228
-0.70217,2.8416,229
4.1146,8.5452,230
-7.9094,-7.093,231
-1.5287,-1.6337,232
-3.0705,-3.4504,233
-3.6431,-4.0317,234
-5.4596,-5.4293,235
-0.49322,-1.5699,236
-1.7353,-2.2821,237
-0.030879,-0.54024,238
-3.5208,-3.5557,239
-2.0409,-3.0847,240
-4.5003,-5.2114,241
-2.5341,-3.0035,242
-0.79956,-0.93699,243
-3.9905,-4.2688,244
-6.2081,-5.987,245
-6.2917,-8.1945,246
-1.14,-1.836,247
-4.5251,-4.5818,248
-6.6058,-7.4884,249
-3.6462,-4.5564,250
4.0095,-3.3114,251
4.9832,-2.9397,252
-3.1972,4.8928,253
3.7497,5.0222,254
-2.6378,4.7199,255
3.2878,3.3672,256
-3.3728,6.304,257
3.2631,9.8867,258
-2.5654,5.4319,259
3.8138,6.4013,260
-3.075,5.5051,261
-7.4818,-7.9496,262
-7.7904,-8.6798,263
-2.6232,-3.1386,264
-4.3258,-5.332,265
-1.5386,-1.0357,266
-1.3164,-1.3393,267
-3.4128,-4.7759,268
3.7795,-1.4877,269
-2.2473,3.6585,270
4.2704,2.2615,271
